States,Total_cases,Total_deaths,Population
Alabama,1659936,21138,4903185
Alaska,301513,1485,731545
Arizona,2552784,33774,7278717
Arkansas,1048855,13246,3017804
California,12521222,105905,39512223
Colorado,1835136,15379,5758736
Connecticut,983652,12354,3565287
Delaware,341196,3512,973764
Florida,7859014,92298,21477737
Georgia,3192056,43401,10617423
Hawaii,408666,2091,1415872
Idaho,525825,5482,1787065
Illinois,4136659,42005,12671821
Indiana,2140038,27040,6732219
Iowa,1058274,10797,3155070
Kansas,946564,10229,2913314
Kentucky,1808735,19183,4467673
Louisiana,1684058,19270,4648794
Maine,333145,3176,1344212
Maryland,1414663,17248,6045680
Massachusetts,2304116,25127,6892503
Michigan,3196630,43646,9986857
Minnesota,1844182,15743,5639632
Mississippi,1000415,13474,2976149
Missouri,1780715,22778,6137428
Montana,333758,3712,1068778
Nebraska,574399,5063,1934408
Nevada,920714,12206,3080156
New Hampshire,382013,3122,1359711
New Jersey,3176625,36453,8882190
New Mexico,707970,9236,2096829
New York,7280378,78417,19453561
North Carolina,3501404,29059,10488084
North Dakota,300043,2513,762062
Ohio,3588434,42952,11689100
Oklahoma,1306350,16157,3956971
Oregon,974924,9544,4217737
Pennsylvania,3565499,51480,12801989
Rhode Island,443803,4166,1059361
South Carolina,1857853,20311,5148714
South Dakota,282895,3231,884659
Tennessee,2626843,29966,6829174
Texas,8918441,95421,28995881
Utah,1112891,5447,3205958
Vermont,154009,929,623989
Virginia,2315784,23748,8535519
Washington,1989477,16151,7614893
West Virginia,672274,8247,1792147
Wisconsin,2043838,16758,5822434
Wyoming,190710,2062,578759
