Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,771151224,9893.479133886154,15353,0.19697120411048474,0,6960783,89.30331590319757,139,0.0017832995096305204,0,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99312876,6750.069,922,0.063,0,121714,8.273,0,0,0
India,South-East Asia,44998838,3260.775,188,0.014,0,532032,38.553,1,0,0
France,Europe,38997490,59959.831,0,0,0,167985,258.282,0,0,0
Germany,Europe,38437756,46217.718,0,0,0,174979,210.395,0,0,0
Brazil,Americas,37721749,17746.449,0,0,0,704659,331.512,0,0,0
Republic of Korea,Western Pacific,34571873,67432.071,0,0,0,35934,70.089,0,0,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Italy,Europe,26082645,43732.385,6465,10.84,0,191715,321.446,31,0.052,0
The United Kingdom,Europe,24743787,36449.026,1760,2.593,0,229765,338.457,0,0,0
Russian Federation,Europe,23029404,15780.648,0,0,0,400047,274.128,0,0,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13980340,29536.378,0,0,0,121852,257.438,0,0,0
Viet Nam,Western Pacific,11623698,11941.512,67,0.069,0,43206,44.387,0,0,0
Australia,Western Pacific,11608166,45522.427,0,0,0,23129,90.702,0,0,0
Argentina,Americas,10054576,22246.717,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8618815,49511.836,0,0,0,22986,132.046,0,0,0
Mexico,Americas,7690908,5965.054,0,0,0,334630,259.538,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7617752,9069.514,961,1.144,0,146410,174.312,24,0.029,0
Indonesia,South-East Asia,6813429,2490.984,0,0,0,161918,59.197,0,0,0
Poland,Europe,6523335,17185.603,788,2.076,0,119654,315.226,3,0.008,0
Colombia,Americas,6381470,12541.485,0,0,0,142977,280.992,0,0,0
Austria,Europe,6081287,68320.9,0,0,0,22534,253.161,0,0,0
Portugal,Europe,5621015,54594.645,0,0,0,27424,266.358,0,0,0
Ukraine,Europe,5520483,12622.933,0,0,0,109918,251.334,0,0,0
Greece,Europe,5405742,50433.449,0,0,0,37572,350.532,0,0,0
Chile,Americas,5288823,27666.705,0,0,0,61607,322.276,0,0,0
Malaysia,Western Pacific,5129131,15847.282,0,0,0,37194,114.917,0,0,0
Israel,Europe,4839886,55916.62,610,7.048,0,12691,146.623,1,0.012,0
Belgium,Europe,4817196,41807.083,5,0.043,0,34339,298.018,0,0,0
Thailand,South-East Asia,4757473,6815.866,190,0.272,0,34474,49.39,1,0.001,0
Canada,Americas,4712542,12486.15,0,0,0,53260,141.115,0,0,0
Czechia,Europe,4651538,43496.957,930,8.697,0,42849,400.685,5,0.047,0
Peru,Americas,4520727,13710.867,0,0,0,221704,672.404,0,0,0
Switzerland,Europe,4413452,50995.341,0,0,0,14055,162.399,0,0,0
Philippines,Western Pacific,4113434,3753.781,0,0,0,66696,60.865,0,0,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Romania,Europe,3455207,17875.917,0,0,0,68341,353.57,0,0,0
Denmark,Europe,3417017,58683.773,0,0,0,8824,151.543,0,0,0
Sweden,Europe,2717141,26309.538,0,0,0,24834,240.463,0,0,0
Singapore,Western Pacific,2594809,44353.116,0,0,0,1872,31.998,0,0,0
Serbia,Europe,2552178,36845.484,0,0,0,18057,260.687,0,0,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
New Zealand,Western Pacific,2385438,49467.498,0,0,0,3347,69.408,0,0,0
Hungary,Europe,2206311,22583.603,0,0,0,48807,499.584,0,0,0
Bangladesh,South-East Asia,2045734,1242.177,36,0.022,0,29477,17.899,0,0,0
Slovakia,Europe,1867525,34217.084,0,0,0,21167,387.825,0,0,0
Georgia,Europe,1855289,46508.088,0,0,0,17132,429.462,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1721152,34669.61,204,4.109,0,9249,186.305,15,0.302,0
Pakistan,Eastern Mediterranean,1580631,715.566,0,0,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502857,8003.837,0,0,0,19072,101.573,0,0,0
Norway,Europe,1489076,27742.036,0,0,0,5705,106.286,0,0,0
Finland,Europe,1486084,26896.026,545,9.864,0,10265,185.782,44,0.796,0
Slovenia,Europe,1345384,64192.425,0,0,0,9448,450.793,0,0,0
Lithuania,Europe,1329905,47597.071,903,32.318,0,9710,347.519,2,0.072,0
Bulgaria,Europe,1302188,18732.524,0,0,0,38414,552.602,0,0,0
Morocco,Eastern Mediterranean,1276812,3459.205,177,0.48,0,16297,44.153,0,0,0
Croatia,Europe,1275337,31426.445,0,0,0,18351,452.199,0,0,0
Guatemala,Americas,1271070,7094.779,0,0,0,20235,112.946,0,0,0
Puerto Rico,Americas,1252713,43788.094,0,0,0,5938,207.56,0,0,0
Lebanon,Eastern Mediterranean,1239904,18165.907,0,0,0,10947,160.385,0,0,0
Costa Rica,Americas,1238884,24319.892,0,0,0,9428,185.076,0,0,0
Bolivia (Plurinational State of),Americas,1208716,10354.783,0,0,0,22404,191.93,0,0,0
Tunisia,Eastern Mediterranean,1153361,9758.847,0,0,0,29423,248.955,0,0,0
Cuba,Americas,1115103,9844.979,0,0,0,8530,75.309,0,0,0
Ecuador,Americas,1069135,6059.807,0,0,0,36043,204.29,0,0,0
United Arab Emirates,Eastern Mediterranean,1067030,10788.54,0,0,0,2349,23.75,0,0,0
Panama,Americas,1047555,24278.368,0,0,0,8654,200.567,0,0,0
Uruguay,Americas,1039238,29917.063,0,0,0,7634,219.764,0,0,0
Mongolia,Western Pacific,1011116,30842.787,0,0,0,2284,69.67,0,0,0
Nepal,South-East Asia,1003441,3443.895,3,0.01,0,12031,41.291,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,976316,51178.319,0,0,0,7384,387.068,0,0,0
Saudi Arabia,Eastern Mediterranean,841469,2417.051,0,0,0,9646,27.707,0,0,0
Azerbaijan,Europe,833189,8217.523,380,3.748,0,10332,101.902,11,0.108,0
Paraguay,Americas,735853,10316.847,0,0,0,19971,279.999,0,0,0
